Contig	Length	SNPs	pi_A	pi_B	pi_C	pi_A_B	pi_A_C	pi_B_C	Fst	Fst_A_B	Fst_A_C	Fst_B_C
Cluster_representative_52136	480	9	0.000113367973547473	0.000647027149009219	0.00723972508031445	0.000395609798333365	0.00904685194592809	0.00902130545830908	0.566712463653823	0.0389581782856435	0.593610401838648	0.562881876366376
Cluster_representative_42276	1461	21	0	0.000624282819823771	0.00323779039797815	0.000322581888184362	0.00273681943629683	0.00293681504237167	0.35591496678614	0.0323653579289287	0.408475700837761	0.342472514938659
Cluster_representative_38025	2682	41	0.000396908846388375	0.000592648841368394	0.00439761455800403	0.000502537760641158	0.00408465310090276	0.00410218595543974	0.380027778835486	0.0154394701661313	0.413105190826027	0.391755584269036
Cluster_representative_5552	273	4	0	0	0.00441220384931145	0	0.00550885933003274	0.00550885933003274	0.599535622079025	NA	0.599535622079025	0.599535622079025
Cluster_representative_935307	120	4	0	0	0.0162828983881615	0	0.013524531024531	0.013524531024531	0.398023548519821	NA	0.398023548519821	0.398023548519821
Cluster_representative_5435	300	1	0	0	0	0	0	0	NA	NA	NA	NA
Cluster_representative_27376	855	14	8.39457742585126e-05	0.00165501830839221	0.00476578420570339	0.00627387290123525	0.00368708674292199	0.00727300867743525	0.622562362482453	0.861412232123133	0.342335790001169	0.558586906817783
NODE_563047_length_596_cov_1.90618_1_len_72_E	72	0	0	0	0	0	0	0	NA	NA	NA	NA
Cluster_representative_27378	1449	32	0	0.000834046060662403	0.00524333325539356	0.000433144784139602	0.00426691255767106	0.00443695517143109	0.334861443250913	0.0372202422809368	0.38558229345864	0.315140779966932
Cluster_representative_38737	852	4	0	0.000434110861506998	0.0015352374970691	0.000232405838489939	0.00112573099415205	0.00125531890718808	0.246458117287973	0.0660500090539021	0.318115293509566	0.215598384084148
Cluster_representative_37177	315	6	0	0	0.0045371838168663	0	0.00415066564260113	0.00415066564260113	0.45343901345629	NA	0.453439013456291	0.453439013456291
Cluster_representative_27974	1134	28	8.04519051606965e-05	0.00039701422435827	0.00729120570602737	0.000245577485270156	0.0102577860093781	0.0102764456786327	0.62614325421547	0.0278707166625778	0.640679889186194	0.625930006793528
Cluster_representative_40341	1026	13	0	0.000341119021227415	0.00414567967228595	0.000176485677623529	0.00456748205773245	0.00456686583265097	0.518109881275239	0.0335787418538426	0.546174498346679	0.508766092772549
Cluster_representative_28767	816	10	0	0.000391894103635619	0.00321526130147282	0.000201756252631724	0.0083477377242666	0.00822244516128361	0.784929138164077	0.0287931637217627	0.807417206453063	0.780651902545171
Cluster_representative_6777	2418	34	3.93871361613297e-05	0.000542043453842054	0.00306756519172407	0.000678540173125838	0.00482868934549696	0.00441592518489706	0.632274625282914	0.57155772566501	0.678282023797739	0.591296444750539
Cluster_representative_7390	336	4	9.44822373393802e-05	0.00210186498787223	0.00359535302729986	0.00767690154925239	0.00517460223377209	0.00667330289192277	0.703367088395147	0.856950931888302	0.643466773102143	0.573133566133504
Cluster_representative_3813	543	6	0	0.000693636270118602	0.00269451142791787	0.0019165880452384	0.00674364840020361	0.00833426797902157	0.80063274495023	0.81904398500192	0.800218571015912	0.796733935927854
Cluster_representative_26377	339	11	0	0	0.00483627859108547	0	0.00579755424381514	0.00579755424381514	0.58290354969556	NA	0.58290354969556	0.58290354969556
Cluster_representative_38518	801	9	0	0.00037789272481979	0.00365078412792221	0.000196336643867952	0.00349808846721668	0.00362440727539212	0.449546506873704	0.0376408667911622	0.478174414092645	0.444229559948373
Cluster_representative_24592	267	1	0	0	0	0	0	0	NA	NA	NA	NA
Cluster_representative_37207	588	8	0	0.000423564008421968	0.00316816027281677	0.000221338229250152	0.00477277061274108	0.00479918008360308	0.633246368147892	0.0431747605081243	0.668100509129932	0.625798134403181
Cluster_representative_19783	1173	10	0	0.000362099144462001	0.00298992133537306	0.000187053716812557	0.00301110509417891	0.0030878786014734	0.466751427029659	0.0320985045572392	0.503517605354725	0.45722923203075
Cluster_representative_17560	1299	20	4.02305679984431e-05	0.00363206441381503	0.00185909328740387	0.00816792951278862	0.00245301427260021	0.00840861226020751	0.709326467944723	0.775200375072794	0.612859191930216	0.673480145635625
Cluster_representative_32022	537	2	0	0.00024056524506613	0	0.000129034150060851	0.00186219739292365	0.0017331632428628	0.935408231699744	0.0678233438485806	1	0.930599369085173
Cluster_representative_889409	2655	106	0.00308382014636678	0.00243817856757637	0.00619280316872172	0.0109638885580449	0.00771214985162396	0.00927672929094177	0.580907264420583	0.748173347224908	0.398570859386563	0.53480469971643
Cluster_representative_16749	918	8	0	0.000439051826645349	0.00286101404323814	0.000228218430441156	0.00348915245822768	0.00356253299122465	0.546688263426388	0.0380885851404648	0.590013036476572	0.536837149576955
Cluster_representative_45562	1971	3	0	3.76683671745302e-05	0.000693003174345822	1.95513168300668e-05	0.000880682504728303	0.000881635121093573	0.589940918756404	0.0366795366795366	0.60655334321668	0.585615679299372
NODE_972350_length_384_cov_1.07393_1_len_198_X	198	1	0	0	0.00163033847244374	0	0.00404040404040404	0.00404040404040404	0.798245614035088	NA	0.798245614035088	0.798245614035088
Cluster_representative_37997	450	4	9.68715659515056e-05	0.000402234844266251	0.000628280642705453	0.00639483925113794	0.00624142835242869	0.000524211232360756	0.914335407778211	0.960975843909685	0.941908152452412	0.0170799256524563
Cluster_representative_27151	657	9	0	0.00240283366576999	0.00379415808294689	0.0107403236710342	0.00409386990956544	0.00758891124864979	0.723633645032362	0.888139606432427	0.53660495243367	0.591707456730407
Cluster_representative_44424	921	5	0	0.000210140098955274	0.00108747285173154	0.00011018390456579	0.00105835001550399	0.00108279116842162	0.423622577956373	0.0464119973630026	0.486241396607493	0.400801840405504
Cluster_representative_712	333	4	0	0	0.00438124508574606	0	0.00404543261686119	0.00404543261686119	0.458494863134634	NA	0.458494863134634	0.458494863134634
Cluster_representative_45686	801	10	0	0.0006367503128993	0.0050468808521741	0.000337210284237131	0.00614469320363997	0.00612547971205075	0.549182326344619	0.0558557335524082	0.589330119103062	0.536066444405007
NODE_988487_length_388_cov_0.927203_1_len_384_P	384	14	0	0.00140742351041164	0.00233771388040754	0.00329406264684552	0.00951395472192127	0.00921068739571829	0.829911094640777	0.786369650291954	0.877142894372769	0.796696097157734
Cluster_representative_49780	564	9	0	0.000139631888899312	0.00381128325468262	7.27404982724132e-05	0.00360608567228799	0.00357188318634533	0.455099501427541	0.0402053036783576	0.471548432144648	0.446942279819568
Cluster_representative_45206	807	8	0	0.000339039360465195	0.00357454558459189	0.000177273604567234	0.00476814602486835	0.00467458096463392	0.593182463266196	0.0437398695286064	0.62516399812959	0.581397244516058
Cluster_representative_29213	618	4	0	0	0.000770538368064527	0	0.00279117659726832	0.00279117659726832	0.861968897127713	NA	0.861968897127713	0.861968897127713
Cluster_representative_4636	606	4	0	0.000421149884605287	0.000821530958286523	0.00157813947618124	0.000894611933103423	0.00245113439231376	0.747621920376706	0.86656759717323	0.540845070422535	0.746509035410585
Cluster_representative_35846	1614	16	0	0.000336294756329653	0.00159911615709159	0.000172623796553025	0.00128068748078794	0.00142006800535066	0.326433887416262	0.0259316413935027	0.375680569584493	0.318549919395116
Cluster_representative_23671	171	3	0	0	0.00421397965257614	0	0.00653104746671998	0.00653104746671998	0.677388682745826	NA	0.677388682745826	0.677388682745826
Cluster_representative_11214	1395	23	0	0.000684630788534204	0.00371110751038151	0.000354011288040918	0.00300879006284182	0.00317755261165662	0.327905137230673	0.0330381944557221	0.383289057582777	0.308313844625221
Cluster_representative_38051	672	1	0	0.000144809355335671	0.00044981049450489	7.62040235724446e-05	0.00121278019404483	0.00116477344383175	0.757669692006415	0.04985754985755	0.814553990610329	0.74474870929215
Cluster_representative_45441	888	2	0	9.61857876188918e-05	0.000766994849290784	4.91303042863064e-05	0.00129380315944687	0.00128108110332389	0.671045790771746	0.0211154905700361	0.703589049195594	0.663104609587141
NODE_914458_length_390_cov_0.935361_3_len_132_F	132	0	0	0	0	0	0	0	NA	NA	NA	NA
Cluster_representative_17900	153	5	0	0	0.00588104090707571	0	0.00435596942249016	0.00435596942249016	0.324944652192517	NA	0.324944652192517	0.324944652192517
Cluster_representative_17906	423	1	0	9.59421224852023e-05	0	4.89410643191979e-05	0	4.89410643191979e-05	0.01981981981982	0.0198198198198198	NA	0.0198198198198198
Cluster_representative_34464	1365	24	0	0.000104843420611327	0.00457038362586118	5.38169492818647e-05	0.00679066537222955	0.00681080598061424	0.657625167405309	0.0259256422896396	0.663480426781757	0.656778723415428
NODE_221124_length_1323_cov_2.90552_1_len_99_O	99	1	0	0.00371924977418841	0.00458935270173198	0.00239684985447697	0.00668449197860963	0.00590904055510237	0.445737789686619	0.224137931034483	0.656716417910448	0.296958414954012
Cluster_representative_34860	153	0	0	0	0	0	0	0	NA	NA	NA	NA
Cluster_representative_22474	1893	19	0	0.000614320700003509	0.00239891713936335	0.000323958223620036	0.00409383899885219	0.00407464415013693	0.645185912135289	0.051851974710121	0.707008856474822	0.630245276846373
Cluster_representative_1867	762	7	0	0	0.00413234548744794	0	0.00427248536901773	0.00427248536901773	0.516400276357412	NA	0.516400276357412	0.516400276357412
Cluster_representative_51565	666	8	0	0.00210491520868957	0.00280665610299378	0.00650876055571118	0.00417294028346746	0.00343702117854498	0.652123520420777	0.83830137929697	0.663707612338317	0.28549010079673
Cluster_representative_51562	822	28	0	0.000460378581663475	0.0121924958952543	0.000236603635634383	0.0115222619076194	0.0116244105189149	0.45889213969515	0.0271100855464346	0.470915693767052	0.455762747868836
Cluster_representative_4708	1254	13	8.39419121967598e-06	0.000694305156767328	0.00331730961220495	0.00217890405439432	0.00358818406561761	0.00359861493860134	0.570773391486621	0.838749359667804	0.536575640685229	0.442616834891002
Cluster_representative_26785	1431	5	0	0.000240362217401876	0.00126340251345205	0.00012483480371158	0.00221344878797763	0.00217201045934541	0.666592751195684	0.0372788266755621	0.714607692684322	0.653831148836382
Cluster_representative_49927	1287	24	0	0.000953274102533247	0.00525268148791729	0.000498842391952173	0.00712479963668895	0.00715487454128482	0.58006911173483	0.0445137402991164	0.631380406764791	0.566312759598989
NODE_70_length_17953_cov_460.418_7_len_186_E	186	3	0	0.000341514954780473	0.00802267411874709	0.000172113317860711	0.00714116291677961	0.00716128799526844	0.422145707416556	0.00787760347268596	0.438279576293086	0.41601363616057
Cluster_representative_46361	3648	48	4.46164407826903e-05	0.000543773155267109	0.00325058522124295	0.000305850468234203	0.00606377476288444	0.00603434826245475	0.690504432367438	0.038109048112944	0.728287923704296	0.68560329869273
Cluster_representative_34642	546	8	0	0.000562771991008477	0.00553699954980425	0.000299581419051351	0.00968315205805042	0.00959872315746865	0.688492452086338	0.0607361551485061	0.714091056475723	0.682261304928533
Cluster_representative_34641	1461	9	0	0.000311996750369063	0.00122608368771177	0.000162191210995549	0.00153281901564673	0.0016017888792947	0.533462492357812	0.0381823143991936	0.600055950769094	0.519886653615025
Cluster_representative_24724	2460	9	5.14445822424326e-05	0.000301992502637436	0.000984906580372	0.000184960016944641	0.00247964003514202	0.00238945062218096	0.735193857064797	0.0445581409476898	0.791027901645596	0.730712350558049
Cluster_representative_20007	987	9	0	0.000193163275223403	0.00359504760173826	9.97786346246403e-05	0.00350314291332265	0.0035266194520922	0.468659921172951	0.032040897582589	0.486882537953835	0.462911872343602
Cluster_representative_46965	729	8	0	0.000439875223305244	0	0.00131088959205224	0	0.00131088959205224	0.832222627301279	0.832222627301279	NA	0.832222627301279
Cluster_representative_1303826	159	1	0	0.000373640577035752	0	0.000192173305380853	0	0.000192173305380853	0.0278551532033428	0.0278551532033428	NA	0.0278551532033428
Cluster_representative_27306	747	6	0	0.00052399515621285	0.000662557214167718	0.000271217424653875	0.000593801276848426	0.000839589711637264	0.303914986436584	0.0339943001789677	0.442105263157895	0.293373683637274
Cluster_representative_46766	1419	17	0	0.000302523834880481	0.000313205400346239	0.000155773053866609	0.000233690075839732	0.000389463129706341	0.209515370953105	0.028959671229346	0.32987012987013	0.209515370953105
NODE_297110_length_507_cov_1.93421_1_len_63_B	63	2	0	0	0.00796091430701439	0	0.00842241658568189	0.00842241658568189	0.527397260273973	NA	0.527397260273973	0.527397260273973
Cluster_representative_1407	1431	19	0	0.000752065718136706	0.00308723570559845	0.000396675944859873	0.00551378594028061	0.00545919308105894	0.662320322371354	0.0520401755110514	0.720043928161515	0.648363653132558
Cluster_representative_2065	1188	16	0	0.000745452926673476	0.00414415123144893	0.000390879112578673	0.00621092686305413	0.00611588721222608	0.615527432066821	0.0464405711581254	0.666382222587379	0.600253897067645
Cluster_representative_31584	1299	16	0	0.000515158871952442	0.00500923750855839	0.000267641790822361	0.00502544300371958	0.00504660838664355	0.465709834546808	0.0375963515085684	0.501612344936476	0.452662465832319
Cluster_representative_8631	861	10	0	0.000996108062434074	0.00297043911551862	0.000532799238044682	0.00386022565957049	0.00390734140986706	0.522123839959073	0.0652125685373656	0.615250586691203	0.492423778488344
Cluster_representative_50210	1173	8	1.88389392407167e-05	0.000476388101001666	0.00168401343463629	0.000964808325904816	0.00438640231148277	0.00504151238459015	0.790310925224295	0.74335470220059	0.805894186971944	0.785738745555657
Cluster_representative_29020	237	3	0	0	0	0.00421940928270042	0.00421940928270042	0	1	1	1	NA
Cluster_representative_34249	1605	19	0	0.000315338190313395	0.0036519163042543	0.000162612638549655	0.00288516430390755	0.00298516564029078	0.342401416862048	0.0304007329138053	0.367121605638145	0.335505132274462
NODE_899214_length_406_cov_1.75269_1_len_405_X	405	20	0.0171412334961214	0.0178655303846773	0.0100651200823286	0.0175864924259177	0.023274225353668	0.0221237922678853	0.284397323577545	0.00472581362477442	0.415526120310546	0.368764402395203
Cluster_representative_1713	378	5	0.000447783466651391	0.000414345404761039	0.000855291914027417	0.00486394096736038	0.00460266096185034	0.000668147425826607	0.830541365624772	0.911375479554771	0.858443257989292	0.0498823540196169
Cluster_representative_25526	267	3	0	0.00014255647743483	0.00324045880968974	7.26133149889169e-05	0.00767338365652972	0.00762039556180808	0.779843233876301	0.0183861082737488	0.788850723830793	0.77802889235307
Cluster_representative_30347	615	13	0	0.000844976596762636	0.00151745798239861	0.000444245555455897	0.00119637156247911	0.00164061711793501	0.280016478758077	0.048975745074706	0.365808236341666	0.280016478758077
Cluster_representative_9652	1863	21	0	0.000491681325746992	0.000356858863619364	0.000255897751320319	0.000204517949151565	0.000441741829533994	0.0594323484050219	0.0393011989942577	0.127561015794021	0.0395519139974768
Cluster_representative_31218	603	7	0	0.000149609808824025	0.00201653657732442	7.84045389100343e-05	0.00163320560477557	0.00163596632797663	0.352921014804227	0.0459110473457673	0.382644606585977	0.337961194828641
NODE_31570_length_1569_cov_1.57975_2_len_135_A	135	0	0	0	0	0	0	0	NA	NA	NA	NA
Cluster_representative_43428	837	7	0	0.000181375324326634	0.00220742912936045	9.57222666826269e-05	0.00323324558708214	0.00320001005644251	0.63412275450458	0.0525959601019721	0.658635716046464	0.626750477099633
Cluster_representative_16966	1086	13	0	0.000820033608422934	0.00480986854573192	0.000438575361138852	0.00622584162901275	0.00612004814987117	0.559629433653036	0.0651166468933103	0.61371740301603	0.540044292439647
Cluster_representative_29185	1311	4	0	0.000214303676610582	0.0010689632411268	0.00011255375777749	0.00100349911886874	0.00104029861010161	0.404889728959367	0.0479941281292287	0.467382072875232	0.383221843576222
Cluster_representative_47211	669	12	0	0.00151424578921571	0.00516537610630886	0.000804591717066398	0.00814710078537234	0.00803419951415456	0.606754718033099	0.0589974038405704	0.682992990857374	0.584300720703009
Cluster_representative_7768	1026	9	0	0.000266769229961237	0.00173907272915823	0.000136336968914279	0.00124647758681719	0.00134271975630449	0.264055510047451	0.021654830360187	0.302405134456184	0.253067533377155
Cluster_representative_52129	723	15	0	0.000551971705300134	0.00940324526182142	0.000284382035363305	0.0113363014527807	0.0112714890945803	0.565125724474299	0.0295243076888141	0.585259561904341	0.558389451314454
Cluster_representative_13214	4674	69	0	0.00040195385372731	0.00247708570011841	0.000208935537851444	0.00189796109724838	0.00202186560413361	0.302687007140361	0.0380912269383675	0.347435070268394	0.288024004177215
NODE_739169_length_476_cov_1.61318_1_len_93_R	93	0	0	0	0	0	0	0	NA	NA	NA	NA
Cluster_representative_36898	456	2	0	0.000155222551151398	0.00197213407237124	8.02310654685494e-05	0.00148456870849664	0.00150920105315804	0.307951837633856	0.0326530612244899	0.335788885659481	0.295204366883029
Cluster_representative_38031	984	15	0	0.00073675432876728	0.00152756678118077	0.000382838068758459	0.00149140479814406	0.00174461119917267	0.374298861295666	0.0377729007507415	0.487876536577556	0.351052798749131
NODE_488072_length_706_cov_2.96028_2_len_66_H	66	0	0	0	0	0	0	0	NA	NA	NA	NA
Cluster_representative_5401	1248	9	0	0.000393826463286972	0.00316626384564777	0.000208710004879871	0.0035492243778023	0.00354887149319984	0.512770645695442	0.0565223178600132	0.553949890368957	0.498419382646512
Cluster_representative_38298	723	5	0	0.000194691123720953	0.00104370384364898	0.00010139339285671	0.00154409983511889	0.00153846046963365	0.611051200807408	0.0399220391209684	0.662034856843109	0.597521355987512
Cluster_representative_48465	534	9	2.03549910438039e-05	0.000984998561556168	0.00623208814861017	0.000527300844929614	0.0104351812151139	0.0102732158060528	0.659185125591514	0.0466983295521074	0.700415210298495	0.648742572607392
Cluster_representative_33088	1140	11	0	0.000121868952015543	0.00353610650267002	6.20714663229219e-05	0.00267189541945882	0.00269015216457503	0.325609297892355	0.0183174392761256	0.338277524464966	0.320117370523646
Cluster_representative_12274	270	1	0	0	0.00186054055306479	0	0.0019451105782041	0.0019451105782041	0.521739130434783	NA	0.521739130434783	0.521739130434783
Cluster_representative_14808	2364	21	0	0.000423652467622754	0.00294910058456158	0.000221374447824112	0.00279408474928459	0.00285567166587935	0.425536045628558	0.0431315091085916	0.472259997604461	0.409464138947894
Cluster_representative_13676	408	0	0	0	0	0	0	0	NA	NA	NA	NA
Cluster_representative_13855	2091	56	0.000734540917907362	0.00146042447452907	0.00305771731581383	0.00407604571802673	0.00244605850460996	0.0049186056842932	0.540877904345026	0.73074818779277	0.224822663363504	0.540709087051755
Cluster_representative_14801	942	16	0	0.000627118467906751	0.00422386824589424	0.00032761239888863	0.00389823030958982	0.00399702977728898	0.410061785319264	0.0428957053607468	0.458232593966635	0.393176060212991
Cluster_representative_36909	537	9	0	0.000749524624374572	0.00308830068449284	0.00039416519803722	0.00933273727693523	0.00921409221872799	0.797379949103527	0.0492252637892763	0.834544753974527	0.791741540145057
Cluster_representative_6704	573	11	0	0.000118519572025825	0.00494946380645696	6.12351122133431e-05	0.00676687374448429	0.00672605033634206	0.626093857516054	0.0322580645161291	0.63428726518717	0.623257102976203
Cluster_representative_36906	747	18	4.05663056265466e-05	0.000588615480325111	0.00968181503039382	0.000325993459407043	0.0104447070034812	0.0104649089542954	0.514447802566856	0.0349778994092544	0.534578550993344	0.509291931942544
Cluster_representative_2596	579	13	6.83868041380995e-05	0.00123675238060757	0.00346284921587671	0.000676990845140493	0.0052526182951805	0.00545871346045884	0.581326542304318	0.0360732393103367	0.663859448605387	0.569532122309893
Cluster_representative_1055931	207	10	0.000926324079939237	0.00387237782914919	0.00619974203248555	0.0227988500556445	0.0169526509736935	0.00868111394626229	0.772912448623415	0.894760001110223	0.78982443148618	0.419883212915817
Cluster_representative_48797	1065	23	0	0.00067549221668084	0.00580664098538477	0.000347676007993619	0.00497837881803263	0.00516772695783461	0.382288164974524	0.0285607848252262	0.416814067628601	0.372825494172223
Cluster_representative_33266	372	3	0	0	0.00268991308708006	0	0.00285531227366427	0.00285531227366427	0.528963414634146	NA	0.528963414634146	0.528963414634146
Cluster_representative_3393	438	2	0	0	0.00170436434057102	0	0.00303333900644261	0.00303333900644261	0.719061348409942	NA	0.719061348409942	0.719061348409942
Cluster_representative_12412	585	3	0	0.000346215855952157	0.00233226603625196	0.00018295051051337	0.00178259453045255	0.00183597252029047	0.295417724883825	0.0537991531681008	0.345822620789746	0.270555015774323
NODE_744_length_9596_cov_293.762_1_len_159_D	159	0	0	0	0	0	0	0	NA	NA	NA	NA
Cluster_representative_33868	339	5	0	0.000733968425216742	0.00284106480564206	0.00252153668663171	0.00234305837310571	0.00486459505973742	0.63254565005337	0.854460093896714	0.39372726726474	0.63254565005337
Cluster_representative_33860	960	16	0.000454020280051337	0.00036366817517189	0.00620728472434947	0.000413132008287942	0.00785366036812519	0.00794683856288946	0.566724245428343	0.0103787181586275	0.575910805142763	0.586568114633238
Cluster_representative_6018	993	10	0	0.000408274237688959	0.0030715336000076	0.000216241390911901	0.00508709887067641	0.00497435693290303	0.661421447640852	0.0559757408902014	0.698105572734898	0.65022535730405
